#current test-bed topology for ndnSIM, converted by Ertugrul DOGRULUK, university of minho

router

#node comment yPos xPos

leaf-12656	NA	40.57471750 -105.08482930
leaf-12649	NA	40.57471750 -105.08482930
leaf-12672	NA	40.57471750 -105.08482930
leaf-12724	NA	40.57471750 -105.08482930
leaf-12706	NA	40.57471750 -105.08482930
leaf-12705	NA	40.57471750 -105.08482930
leaf-12675	NA	40.57471750 -105.08482930
leaf-12879	NA	40.57471750 -105.08482930
leaf-12880	NA	40.57471750 -105.08482930
leaf-13082	NA	40.57471750 -105.08482930
leaf-12935	NA	52.05858 9.58360
leaf-12680	NA	52.05858 9.58360
leaf-12676	NA	52.05858 9.58360
leaf-12674	NA	52.05858 9.58360
leaf-12677	NA	52.05858 9.58360
leaf-12697	NA	52.05858 9.58360
leaf-12690	NA	52.05858 9.58360
leaf-12687	NA	52.05858 9.58360
leaf-12683	NA	52.05858 9.58360
leaf-12681	NA	52.05858 9.58360
leaf-12682	NA	-6.0 106.8
leaf-12688	NA	-6.0 106.8
leaf-12686	NA	-6.0 106.8
leaf-12685	NA	-6.0 106.8
leaf-12684	NA	-6.0 106.8
leaf-12689	NA	-6.0 106.8
leaf-12699	NA	-6.0 106.8
leaf-13052	NA	-6.0 106.8
leaf-13053	NA	-6.0 106.8
leaf-13054	NA	-6.0 106.8
leaf-12700	NA	36.0 127.50
leaf-12698	NA	36.0 127.50
leaf-13086	NA	36.0 127.50
leaf-12701	NA	36.0 127.50
leaf-12703	NA	36.0 127.50
leaf-12715	NA	36.0 127.50
leaf-12716	NA	36.0 127.50
leaf-12717	NA	36.0 127.50
leaf-12723	NA	36.0 127.50
leaf-12718	NA	36.0 127.50
leaf-12719	NA	48.50 1.71
leaf-12720	NA	48.50 1.71
leaf-12721	NA	48.50 1.71
leaf-12722	NA	48.50 1.71
leaf-12726	NA	48.50 1.71
leaf-12725	NA	48.50 1.71
leaf-12876	NA	48.50 1.71
leaf-12877	NA	48.50 1.71
leaf-12908	NA	48.50 1.71
leaf-12731	NA	48.50 1.71
leaf-12734	NA	35.11860990 -89.93700109999999
leaf-12741	NA	35.11860990 -89.93700109999999
leaf-12743	NA	35.11860990 -89.93700109999999
leaf-12738	NA	35.11860990 -89.93700109999999
leaf-12740	NA	35.11860990 -89.93700109999999
leaf-12739	NA	35.11860990 -89.93700109999999
leaf-12746	NA	35.11860990 -89.93700109999999
leaf-12919	NA	35.11860990 -89.93700109999999
leaf-12742	NA	35.11860990 -89.93700109999999
leaf-12747	NA	35.11860990 -89.93700109999999
leaf-12744	NA	42.50260390 -83.4
leaf-12745	NA	42.50260390 -83.4
leaf-12748	NA	42.50260390 -83.4
leaf-12763	NA	42.50260390 -83.4
leaf-12773	NA	42.50260390 -83.4
leaf-12951	NA	42.50260390 -83.4
leaf-13057	NA	42.50260390 -83.4
leaf-12762	NA	42.50260390 -83.4
leaf-12960	NA	42.50260390 -83.4
leaf-12777	NA	42.50260390 -83.4
leaf-13112	NA	41.8 -8.2
leaf-12782	NA	41.8 -8.2
leaf-12775	NA	41.8 -8.2
leaf-12774	NA	41.8 -8.2
leaf-13116	NA	41.8 -8.2
leaf-12781	NA	41.8 -8.2
leaf-13113	NA	41.8 -8.2
leaf-12824	NA	41.8 -8.2
leaf-12878	NA	41.8 -8.2
leaf-12828	NA	41.8 -8.2
leaf-12853	NA	17.3 103.7
leaf-12852	NA	17.3 103.7
leaf-12883	NA	17.3 103.7
leaf-12892	NA	17.3 103.7
leaf-12882	NA	17.3 103.7
leaf-12862	NA	17.3 103.7
leaf-12889	NA	17.3 103.7
leaf-12890	NA	17.3 103.7
leaf-12893	NA	17.3 103.7
leaf-12895	NA	17.3 103.7
leaf-12891	NA	19.0 73.2
leaf-12902	NA	19.0 73.2
leaf-12903	NA	19.0 73.2
leaf-12894	NA	19.0 73.2
leaf-12896	NA	19.0 73.2
leaf-12897	NA	19.0 73.2
leaf-12898	NA	19.0 73.2
leaf-12899	NA	19.0 73.2
leaf-12900	NA	19.0 73.2
leaf-12901	NA	19.0 73.2
leaf-12917	NA	42.7 -71.08873579999999
leaf-12916	NA	42.7 -71.08873579999999
leaf-12915	NA	42.7 -71.08873579999999
leaf-12911	NA	42.7 -71.08873579999999
leaf-13083	NA	42.7 -71.08873579999999
leaf-13084	NA	42.7 -71.08873579999999
leaf-13085	NA	42.7 -71.08873579999999
leaf-13089	NA	42.7 -71.08873579999999
leaf-12924	NA	42.7 -71.08873579999999
leaf-12925	NA	42.7 -71.08873579999999
leaf-12927	NA	39.14907010 -76.5
leaf-12933	NA	39.14907010 -76.5
leaf-12934	NA	39.14907010 -76.5
leaf-13087	NA	39.14907010 -76.5
leaf-13088	NA	39.14907010 -76.5
leaf-12923	NA	39.14907010 -76.5
leaf-12930	NA	39.14907010 -76.5
leaf-12938	NA	39.14907010 -76.5
leaf-12929	NA	39.14907010 -76.5
leaf-12926	NA	39.14907010 -76.5
leaf-13081	NA	63.5 10.5
leaf-12939	NA	63.5 10.5
leaf-12943	NA	63.5 10.5
leaf-12955	NA	63.5 10.5
leaf-12956	NA	63.5 10.5
leaf-12957	NA	63.5 10.5
leaf-12958	NA	63.5 10.5
leaf-12964	NA	63.5 10.5
leaf-12959	NA	63.5 10.5
leaf-12962	NA	63.5 10.5
leaf-12968	NA	34.72 135.5193
leaf-12970	NA	34.72 135.5193
leaf-12972	NA	34.72 135.5193
leaf-12978	NA	34.72 135.5193
leaf-12980	NA	34.72 135.5193
leaf-12982	NA	34.72 135.5193
leaf-12986	NA	34.72 135.5193
leaf-12987	NA	34.72 135.5193
leaf-13056	NA	34.72 135.5193
leaf-13007	NA	34.72 135.5193
leaf-13017	NA	45.35858 11.78360
leaf-13023	NA	45.35858 11.78360
leaf-13032	NA	45.35858 11.78360
leaf-13063	NA	45.35858 11.78360
leaf-13066	NA	45.35858 11.78360
leaf-13062	NA	45.35858 11.78360
leaf-13061	NA	45.35858 11.78360
leaf-13064	NA	45.35858 11.78360
leaf-13065	NA	45.35858 11.78360
leaf-13067	NA	45.35858 11.78360
leaf-13068	NA	23.0 114.0
leaf-13070	NA	23.0 114.0
leaf-13069	NA	23.0 114.0
leaf-13094	NA	23.0 114.0
leaf-13093	NA	23.0 114.0
leaf-13079	NA	23.0 114.0
leaf-13095	NA	23.0 114.0
leaf-13097	NA	23.0 114.0
leaf-13098	NA	23.0 114.0
leaf-13103	NA	23.0 114.0
leaf-13104	NA	34.4 -117.14807210
leaf-13102	NA	34.4 -117.14807210
leaf-13101	NA	34.4 -117.14807210
leaf-13100	NA	34.4 -117.14807210
leaf-13105	NA	34.4 -117.14807210
leaf-13106	NA	34.4 -117.14807210
leaf-13107	NA	34.4 -117.14807210
leaf-13109	NA	34.4 -117.14807210
leaf-13111	NA	34.4 -117.14807210
leaf-13108	NA	34.4 -117.14807210
leaf-13119	NA	15.3 103.7
leaf-13140	NA	15.3 103.7
leaf-13142	NA	15.3 103.7
leaf-13143	NA	15.3 103.7
leaf-13144	NA	15.3 103.7
leaf-13141	NA	15.3 103.7
leaf-22972	NA	15.3 103.7
leaf-22978	NA	15.3 103.7
leaf-22980	NA	15.3 103.7
leaf-22982	NA	15.3 103.7
leaf-22986	NA	48.71 3.19
leaf-22987	NA	48.71 3.19
leaf-23056	NA	48.71 3.19
leaf-23007	NA	48.71 3.19
leaf-23017	NA	48.71 3.19
leaf-23023	NA	48.71 3.19
leaf-23032	NA	48.71 3.19
leaf-23063	NA	48.71 3.19
leaf-23066	NA	48.71 3.19
leaf-23062	NA	48.71 3.19
leaf-23061	NA	52.05858 4.0
leaf-23064	NA	52.05858 4.0
leaf-23065	NA	52.05858 4.0
leaf-23067	NA	52.05858 4.0
leaf-23068	NA	52.05858 4.0
leaf-23070	NA	52.05858 4.0
leaf-23069	NA	52.05858 4.0
leaf-23094	NA	52.05858 4.0
leaf-23093	NA	52.05858 4.0
leaf-23079	NA	52.05858 4.0
leaf-23095	NA	31.12 121.30
leaf-23097	NA	31.12 121.30
leaf-23098	NA	31.12 121.30
leaf-23103	NA	31.12 121.30
leaf-23104	NA	31.12 121.30
leaf-23102	NA	31.12 121.30
leaf-23101	NA	31.12 121.30
leaf-23100	NA	31.12 121.30
leaf-23105	NA	31.12 121.30
leaf-23106	NA	31.12 121.30
leaf-23107	NA	22.0 -100.5
leaf-23109	NA	22.0 -100.5
leaf-23111	NA	22.0 -100.5
leaf-23108	NA	22.0 -100.5
leaf-23119	NA	22.0 -100.5
leaf-23140	NA	22.0 -100.5
leaf-23142	NA	22.0 -100.5
leaf-23143	NA	22.0 -100.5
leaf-23144	NA	22.0 -100.5
leaf-23141	NA	22.0 -100.5
leaf-33061	NA	33.1495 -118.145798
leaf-33064	NA	33.1495 -118.145798
leaf-33065	NA	33.1495 -118.145798
leaf-33067	NA	33.1495 -118.145798
leaf-33068	NA	33.1495 -118.145798
leaf-33070	NA	33.1495 -118.145798
leaf-33069	NA	33.1495 -118.145798
leaf-33094	NA	33.1495 -118.145798
leaf-33093	NA	33.1495 -118.145798
leaf-33079	NA	33.1495 -118.145798
leaf-33095	NA	35.5 -120
leaf-33097	NA	35.5 -120
leaf-33098	NA	35.5 -120
